"GroupName","MemberName","MemberType","MemberSAMAccount","MemberDN"
"Accounting Group","Henry Woodward","user","henry.woodward","CN=Henry Woodward,OU=Accounting,OU=Departments,DC=Corp,DC=local"
"Accounting Group","Jimmy Button","user","jimmy.button","CN=Jimmy Button,OU=Accounting,OU=Departments,DC=Corp,DC=local"
"Accounting Group","Katie Clark","user","katie.clark","CN=Katie Clark,OU=Accounting,OU=Departments,DC=Corp,DC=local"
"Accounting Group","Oxana Wetherby","user","oxana.wetherby","CN=Oxana Wetherby,OU=Accounting,OU=Departments,DC=Corp,DC=local"
"Administrators","Administrator","user","Administrator","CN=Administrator,CN=Users,DC=Corp,DC=local"
"Administrators","Domain Admins","group","Domain Admins","CN=Domain Admins,CN=Users,DC=Corp,DC=local"
"Administrators","Elie Nzweme","user","Elie Nzweme","CN=Elie Nzweme,CN=Users,DC=Corp,DC=local"
"Administrators","Enterprise Admins","group","Enterprise Admins","CN=Enterprise Admins,CN=Users,DC=Corp,DC=local"
"Customer Relations Group","Joseph Johnson","user","joseph.jonson","CN=Joseph Johnson,OU=Contractors,DC=Corp,DC=local"
"Customer Relations Group","Shanon Tate","user","shanon.tate","CN=Shanon Tate,OU=Contractors,DC=Corp,DC=local"
"Customer Relations Group","Trent Allen","user","trent.allen","CN=Trent Allen,OU=Customer Relations,OU=Departments,DC=Corp,DC=local"
"Customer Relations Group","Trevor Anderson","user","trevor.anderson","CN=Trevor Anderson,OU=Customer Relations,OU=Departments,DC=Corp,DC=local"
"Customer Relations Group","Trisha Hyatt","user","trisha.hyatt","CN=Trisha Hyatt,OU=Customer Relations,OU=Departments,DC=Corp,DC=local"
"Denied RODC Password Replication Group","Cert Publishers","group","Cert Publishers","CN=Cert Publishers,CN=Users,DC=Corp,DC=local"
"Denied RODC Password Replication Group","Domain Admins","group","Domain Admins","CN=Domain Admins,CN=Users,DC=Corp,DC=local"
"Denied RODC Password Replication Group","Domain Controllers","group","Domain Controllers","CN=Domain Controllers,CN=Users,DC=Corp,DC=local"
"Denied RODC Password Replication Group","Enterprise Admins","group","Enterprise Admins","CN=Enterprise Admins,CN=Users,DC=Corp,DC=local"
