"Name","SamAccountName","EmployeeID","Department","Title","GroupName","GroupCategory","GroupScope"
"Security Admin","admin.security",,,,"Domain Users","Security","Global"
"Security Admin","admin.security",,,,"Privileged Security Admins","Security","Global"
"Security Admin","admin.security",,,,"Security Group","Security","Global"
"Administrator","Administrator",,,,"Administrators","Security","DomainLocal"
"Administrator","Administrator",,,,"Domain Admins","Security","Global"
"Administrator","Administrator",,,,"Domain Users","Security","Global"
"Administrator","Administrator",,,,"Enterprise Admins","Security","Universal"
"Administrator","Administrator",,,,"Group Policy Creator Owners","Security","Global"
"Administrator","Administrator",,,,"Schema Admins","Security","Universal"
"Alyssa Jensen","alyssa.jensen",,"Finance","Manager of Finance","Domain Users","Security","Global"
"Alyssa Jensen","alyssa.jensen",,"Finance","Manager of Finance","Finance Group","Security","Global"
"Amy Wilcox","amy.wilcox",,"Finance","Payroll Specialist","Domain Users","Security","Global"
"Amy Wilcox","amy.wilcox",,"Finance","Payroll Specialist","Finance Group","Security","Global"
"Andrea Forsythe","andrea.forsythe",,"Finance","Finance Analyst","Domain Users","Security","Global"
"Andrea Forsythe","andrea.forsythe",,"Finance","Finance Analyst","Finance Group","Security","Global"
"Anthony Edwards","anthony.edwards",,"Finance","Treasury and Cash Management Staff","Domain Users","Security","Global"
"Anthony Edwards","anthony.edwards",,"Finance","Treasury and Cash Management Staff","Finance Group","Security","Global"
"Benjamin Washington","benjamin.washington",,"Executives","Chief Finance Officer (CFO)","Domain Users","Security","Global"
"Benjamin Washington","benjamin.washington",,"Executives","Chief Finance Officer (CFO)","Executives Group","Security","Global"
"Bill Smith","bill.smith",,"IT","Manager of IT","Domain Users","Security","Global"
"Bill Smith","bill.smith",,"IT","Manager of IT","IT Group","Security","Global"
"Brown Steward","brown.steward",,"Security","Manager of Cybersecurity","Domain Users","Security","Global"
"Brown Steward","brown.steward",,"Security","Manager of Cybersecurity","Security Group","Security","Global"
"David Admire","davidadmire",,"Security","DevSecOps","Domain Users","Security","Global"
"David Admire","davidadmire",,"Security","DevSecOps","Security Group","Security","Global"
"diabled.user","diabled",,,,"Domain Users","Security","Global"
"Elie Nzweme","Elie Nzweme",,,,"Administrators","Security","DomainLocal"
"Elie Nzweme","Elie Nzweme",,,,"Domain Users","Security","Global"
"Elie Nzweme","Elie Nzweme",,,,"Users","Security","DomainLocal"
"Elie Admin","elie.admin",,,,"Domain Users","Security","Global"
"Elie Admin","elie.admin",,,,"IAM Admins","Security","Global"
"Elie Admin","elie.admin",,,,"Security Group","Security","Global"
"Eric Lee","eric.lee",,"IT","HelpDesk Technician","Domain Users","Security","Global"
"Eric Lee","eric.lee",,"IT","HelpDesk Technician","IT Group","Security","Global"
"Ethan Marwaloud","ethanmarwaloud",,"Security","Security Engineer","Domain Users","Security","Global"
"Ethan Marwaloud","ethanmarwaloud",,"Security","Security Engineer","Security Group","Security","Global"
"Guest","Guest",,,,"Domain Guests","Security","Global"
"Guest","Guest",,,,"Guests","Security","DomainLocal"
"Happy Sunday","happy.sunday",,"Engineering","Data Engineer","Domain Users","Security","Global"
"Happy Sunday","happy.sunday",,"Engineering","Data Engineer","Engineering Group","Security","Global"
"Heather Summer","heather.summer",,"Engineering","Data Analyst","Domain Users","Security","Global"
"Heather Summer","heather.summer",,"Engineering","Data Analyst","Engineering Group","Security","Global"
"Henry Woodward","henry.woodward",,"Accounting","Manager of Accounting","Accounting Group","Security","Global"
"Henry Woodward","henry.woodward",,"Accounting","Manager of Accounting","Domain Users","Security","Global"
"iam.admin","iam.admin",,,,"Domain Admins","Security","Global"
"iam.admin","iam.admin",,,,"Domain Users","Security","Global"
"James Tritt","james.tritt",,"IT","IT Technical Support Specialist","Domain Users","Security","Global"
"James Tritt","james.tritt",,"IT","IT Technical Support Specialist","IT Group","Security","Global"
"Janice Smith","janice.smith",,"HR","HR Manager","Domain Users","Security","Global"
"Janice Smith","janice.smith",,"HR","HR Manager","HR Group","Security","Global"
"Jennifer Sorensen","jennifer.sorensen",,"HR","HR Generalist","Domain Users","Security","Global"
"Jennifer Sorensen","jennifer.sorensen",,"HR","HR Generalist","HR Group","Security","Global"
"Jimmy Button","jimmy.button",,"Accounting","Account Payable Analyst","Accounting Group","Security","Global"
"Jimmy Button","jimmy.button",,"Accounting","Account Payable Analyst","Domain Users","Security","Global"
"John Williams","john.williams",,"IT","Director of IT","Domain Users","Security","Global"
"John Williams","john.williams",,"IT","Director of IT","IT Group","Security","Global"
"John Latouche","johnlatouche",,"Security","IAM Engineer","Domain Users","Security","Global"
"John Latouche","johnlatouche",,"Security","IAM Engineer","Security Group","Security","Global"
"Joseph Johnson","joseph.jonson",,"Customer Relations","Customer Service","Customer Relations Group","Security","Global"
"Joseph Johnson","joseph.jonson",,"Customer Relations","Customer Service","Domain Users","Security","Global"
"Julie Lloyd","julie.lloyd",,"HR","HRIS Specialist","Domain Users","Security","Global"
"Julie Lloyd","julie.lloyd",,"HR","HRIS Specialist","HR Group","Security","Global"
"Kathy Arnold","kathy.arnold",,"Executives","Chief Human Resources Officer (CHRO)","Domain Users","Security","Global"
"Kathy Arnold","kathy.arnold",,"Executives","Chief Human Resources Officer (CHRO)","Executives Group","Security","Global"
"Katie Clark","katie.clark",,"Accounting","Account Receivable Analyst","Accounting Group","Security","Global"
"Katie Clark","katie.clark",,"Accounting","Account Receivable Analyst","Domain Users","Security","Global"
"Kevin Jones","kevin.jones",,"Engineering","Software Engineer","Domain Users","Security","Global"
"Kevin Jones","kevin.jones",,"Engineering","Software Engineer","Engineering Group","Security","Global"
"krbtgt","krbtgt",,,,"Denied RODC Password Replication Group","Security","DomainLocal"
"krbtgt","krbtgt",,,,"Domain Users","Security","Global"
"Lee McCrae","lee.mccrae",,"Engineering","Manager Of Engineering","Domain Users","Security","Global"
"Lee McCrae","lee.mccrae",,"Engineering","Manager Of Engineering","Engineering Group","Security","Global"
"Michael Smith","michael.smith","10","HR","HR Analyst","Domain Users","Security","Global"
"Michael Smith","michael.smith","10","HR","HR Analyst","HR Group","Security","Global"
"Oxana Wetherby","oxana.wetherby",,"Accounting","Account Receivable Analyst","Accounting Group","Security","Global"
"Oxana Wetherby","oxana.wetherby",,"Accounting","Account Receivable Analyst","Domain Users","Security","Global"
"Sarah Johnson","sarah.johnson",,,,"Domain Users","Security","Global"
"Shanon Tate","shanon.tate",,"Customer Relations","Customer Service","Customer Relations Group","Security","Global"
"Shanon Tate","shanon.tate",,"Customer Relations","Customer Service","Domain Users","Security","Global"
"svc_backup","svc_backup",,,,"Domain Users","Security","Global"
"svc_splunk","svc_splunk",,,,"Domain Users","Security","Global"
"svc_sql","svc_sql",,,,"Domain Users","Security","Global"
"Ted Willams","ted.williams",,"Executives","Chief Executive Officer (CEO)","Domain Users","Security","Global"
"Ted Willams","ted.williams",,"Executives","Chief Executive Officer (CEO)","Executives Group","Security","Global"
"Test user","testuser",,,,"Domain Users","Security","Global"
"Trent Allen","trent.allen",,"Customer Relations","Customer Service Representative","Customer Relations Group","Security","Global"
"Trent Allen","trent.allen",,"Customer Relations","Customer Service Representative","Domain Users","Security","Global"
"Trevor Anderson","trevor.anderson",,"Customer Relations","Customer Service Representative","Customer Relations Group","Security","Global"
"Trevor Anderson","trevor.anderson",,"Customer Relations","Customer Service Representative","Domain Users","Security","Global"
"Trisha Hyatt","trisha.hyatt",,"Customer Relations","Manager Of Customer Relations","Customer Relations Group","Security","Global"
"Trisha Hyatt","trisha.hyatt",,"Customer Relations","Manager Of Customer Relations","Domain Users","Security","Global"
"William Trent","william.trent",,"Executives","Chief Operating Officer (COO)","Domain Users","Security","Global"
"William Trent","william.trent",,"Executives","Chief Operating Officer (COO)","Executives Group","Security","Global"
