"Name","GivenName","Surname","SamAccountName","UserPrincipalName","EmployeeID","Department","Title","Company","Enabled","DistinguishedName","Manager","Description"
"Administrator",,,"Administrator",,,,,,"True","CN=Administrator,CN=Users,DC=Corp,DC=local",,"Built-in account for administering the computer/domain"
"Alyssa Jensen","Alyssa","Jensen","alyssa.jensen","alyssa.jensen@Corp.local",,"Finance","Manager of Finance","Corp","True","CN=Alyssa Jensen,OU=Finance,OU=Departments,DC=Corp,DC=local","CN=Benjamin Washington,OU=Executives,OU=Departments,DC=Corp,DC=local",
"Amy Wilcox","Amy","Wilcox","amy.wilcox","amy.wilcox@Corp.local",,"Finance","Payroll Specialist","Corp","True","CN=Amy Wilcox,OU=Finance,OU=Departments,DC=Corp,DC=local","CN=Alyssa Jensen,OU=Finance,OU=Departments,DC=Corp,DC=local",
"Andrea Forsythe","Andrea","Forsythe","andrea.forsythe","andrea.forsythe@Corp.local",,"Finance","Finance Analyst","Corp","True","CN=Andrea Forsythe,OU=Finance,OU=Departments,DC=Corp,DC=local","CN=Alyssa Jensen,OU=Finance,OU=Departments,DC=Corp,DC=local",
"Anthony Edwards","Anthony","Edwards","anthony.edwards","anthony.edwards@Corp.local",,"Finance","Treasury and Cash Management Staff","Corp","True","CN=Anthony Edwards,OU=Finance,OU=Departments,DC=Corp,DC=local","CN=Alyssa Jensen,OU=Finance,OU=Departments,DC=Corp,DC=local",
"Benjamin Washington","Benjamin","Washington","benjamin.washington","benjamin.washington@Corp.local",,"Executives","Chief Finance Officer (CFO)","Corp","True","CN=Benjamin Washington,OU=Executives,OU=Departments,DC=Corp,DC=local","CN=Ted Willams,OU=Executives,OU=Departments,DC=Corp,DC=local",
"Bill Smith","Bill","Smith","bill.smith","bill.smith@Corp.local",,"IT","Manager of IT","Corp","True","CN=Bill Smith,OU=IT,OU=Departments,DC=Corp,DC=local","CN=John Williams,OU=IT,OU=Departments,DC=Corp,DC=local",
"Brown Steward","Brown","Steward","brown.steward","brown.steward@Corp.local",,"Security","Manager of Cybersecurity","Corp","True","CN=Brown Steward,OU=Security,OU=Departments,DC=Corp,DC=local","CN=William Trent,OU=Executives,OU=Departments,DC=Corp,DC=local",
"David Admire","David","Admire","davidadmire","davidadmire@Corp.local",,"Security","DevSecOps","Corp","True","CN=David Admire,OU=Security,OU=Departments,DC=Corp,DC=local","CN=Brown Steward,OU=Security,OU=Departments,DC=Corp,DC=local",
"diabled.user","diabled.user",,"diabled","diabled@Corp.local",,,,,"False","CN=diabled.user,OU=Disabled Users,DC=Corp,DC=local",,
